time_s,com_x_mean,com_x_std,com_y_mean,com_y_std,com_z_mean,com_z_std,std_x_mean,std_x_std,std_y_mean,std_y_std,std_z_mean,std_z_std,v_x_mean,v_x_std,v_y_mean,v_y_std,v_z_mean,v_z_std,velocity_x_calc,velocity_y_calc,velocity_z_calc
1573.55,25.313335269999996,0.21869018905785137,-7.36769228,0.129600290945948,0.07448477,0.22074398982151316,3.76771735,0.196685817530199,1.21072062,0.38805275880151957,2.44247439,0.1333117038206834,0.0232448707,0.003072775464810259,-0.0116402264,0.0022960040998003554,-5.619280000000001e-05,0.0012791385439807255,0.003141049999996426,-0.001007150000006618,0.0012401999999978597
1573.65,25.313673509999997,0.21868772764103137,-7.3676870899999996,0.1295596286017217,0.07469044,0.22103835218411552,3.76759572,0.19681908436332526,1.2104152000000001,0.3875225317054663,2.44265333,0.1332536980621305,0.023552472199999997,0.004010736493186876,-0.011689564500000001,0.002712561168704289,1.93628e-05,0.0012531709759565771,0.0001844000000090773,0.0014149500000044668,-0.000931800000006644
1573.75,25.31337215,0.21934956486395804,-7.36740929,0.12940162677714542,0.07429841,0.22096799519319285,3.76790288,0.19714784157802578,1.21047632,0.3875385325568813,2.44256117,0.13315547500443867,0.0236756882,0.004850200373748059,-0.0117343897,0.0037201558489370736,4.31287e-05,0.001227501886834037,-0.002568599999989374,3.079999999044958e-05,-0.004633050000004191
1573.85,25.31315979,0.21960319360252994,-7.367680930000001,0.12962622984310904,0.07376383,0.2207247025849468,3.76787025,0.1972887231183378,1.21064659,0.38788923489336946,2.44276595,0.13327900833838827,0.0234181871,0.0031655411279275145,-0.011702033700000001,0.0034522188931189433,-7.51713e-05,0.0013356186964800926,-0.0008059000000031347,-0.000904800000000705,0.000869599999985704
1573.95,25.31321097,0.2198064528400621,-7.367590249999999,0.12973516173026992,0.07447233,0.2205317512728629,3.76722069,0.19659316767425022,1.21048309,0.3879009041582004,2.44273373,0.13307253948970646,0.0233015734,0.002369680268011376,-0.011724453800000001,0.0038571366269363728,8.760100000000002e-05,0.0014407556555533943,0.0013658000000162929,-0.0008241000000026588,0.0027381499999894476
1574.05,25.313432950000003,0.21998156771555466,-7.36784575,0.12978558342410315,0.07431146,0.22024896946595815,3.76680384,0.19693913369726365,1.21002872,0.3877650452061387,2.44262418,0.13284915136344483,0.0233738381,0.0033058899381545213,-0.011848180100000001,0.0038065778806831278,0.0003013377,0.0018312306025343433,0.0015568499999858432,-0.0013055500000049847,-0.0013558500000002693
1574.15,25.31352234,0.21966192536034698,-7.3678513599999995,0.12973727096180393,0.07420116,0.22018847279848155,3.76692765,0.19683883237808336,1.20995035,0.3877860116810851,2.44285867,0.13267866784000762,0.0233370802,0.0026538367382833825,-0.0116478914,0.002135901574128756,0.0002849064,0.0016221394028198834,0.0024486499999909483,0.0016897500000041532,-0.0008127499999991405
1574.25,25.31392268,0.21985553383987813,-7.367507799999999,0.1297841362388042,0.07414891,0.22025508615331893,3.7669608699999997,0.19665227891550027,1.2103500200000001,0.3886773814352376,2.44281826,0.13246507812399594,0.0233490308,0.002432390453265414,-0.0116489997,0.0015313846717792744,0.0003512725,0.0014747696582030404,0.005328099999999836,0.0018590999999972269,0.0013235000000011432
1574.35,25.314587959999997,0.22035188083507234,-7.367479540000001,0.13005156508018825,0.07446586,0.21991685051492635,3.76740808,0.19655692374468348,1.2104565999999999,0.3892249880033942,2.44296206,0.13251642104296651,0.0232992068,0.002300576174520961,-0.0116268846,0.001316636761383758,0.0003591845,0.001351643589212535,0.003738749999996571,-0.0006842499999990537,-0.0008656999999906434
1574.45,25.31467043,0.2207646096877188,-7.36764465,0.12992667316274556,0.07397577,0.22023885078777608,3.76737322,0.19670540280664595,1.21088145,0.38986541638773164,2.44307896,0.1324902078461253,0.0233669403,0.0024533826861119837,-0.011574735899999999,0.0013340234939385397,0.0003110579,0.001344861292651143,-0.0004324999999738566,-0.0013983999999993557,-0.001483299999991805
