time_s,com_x_mean,com_x_std,com_y_mean,com_y_std,com_z_mean,com_z_std,std_x_mean,std_x_std,std_y_mean,std_y_std,std_z_mean,std_z_std,velocity_x_mean
417.1,33.529571260000004,0.22295597646374418,-4.8766013,0.13478350490866686,0.09036838,0.16460544221293769,2.57051925,0.15738439780040922,2.25351307,0.26051114864277275,2.15254606,0.15073783376899808,-0.0167669500000045
417.2,33.52800007,0.22317826713961003,-4.8775121200000005,0.134646927831684,0.09026043,0.16441070631118443,2.57101287,0.15712500289592196,2.25360634,0.2606294908958515,2.15250822,0.15063543218065975,-0.018719700000019657
417.3,33.52582732,0.22297703546850178,-4.87785786,0.13503737207914268,0.09032997,0.1644535931855718,2.57150753,0.15682814358974978,2.25329801,0.2610292967532667,2.15257687,0.1506138272898678,-0.019779449999958842
417.4,33.524044180000004,0.22295731229013996,-4.87865976,0.13496546351440797,0.09017295,0.16485991151053095,2.5718701499999996,0.1568359580565073,2.25311071,0.26081740511033913,2.15238154,0.15012732803826045,-0.0180100500000151
417.5,33.522225309999996,0.22305702657449689,-4.879397630000001,0.13508143405956644,0.0901782,0.1651188138062646,2.57189529,0.15678064318737944,2.25264332,0.26154547089655866,2.15213459,0.15030829044630514,-0.017728050000016538
417.6,33.52049857,0.2230253561800931,-4.879947619999999,0.13474953400821063,0.09058643,0.16526461666283024,2.5723436800000004,0.15694281542521635,2.25263562,0.2612453443581409,2.15250766,0.14988317336433069,-0.017678599999953803
417.7,33.51868959,0.2227284502193964,-4.88115458,0.13483677681456566,0.09034195,0.16562764913420935,2.57294826,0.15673102010374323,2.25272267,0.2614391490437658,2.15263881,0.14986849870117244,-0.016159450000003517
417.8,33.51726668,0.2224706346579914,-4.88162229,0.13487262174073011,0.09038226999999999,0.1656539273757407,2.57324839,0.1567196143636167,2.25267388,0.2615117037673817,2.15231891,0.14929572892874582,-0.016867749999988746
417.9,33.51531604,0.22238284889965446,-4.88229962,0.13503647232857147,0.09047965,0.165612657728467,2.57369448,0.15691691982711706,2.2521928399999998,0.2613920122994465,2.1521296000000003,0.14874119016281437,-0.018751549999990402
418.0,33.513516370000005,0.22264188279331132,-4.88285187,0.135256434816484,0.0909574,0.16556426079558317,2.57366193,0.1562652458769219,2.25225148,0.26143348932884675,2.15182964,0.14879094880826266,-0.01704780000000028
418.1,33.51190648,0.22251163404696717,-4.88339692,0.13549080782922415,0.09129286,0.1652318156729698,2.5740175900000004,0.15613943594426047,2.25241259,0.2617788873393888,2.15200441,0.14856117367848565,-0.016650150000032227
418.2,33.51018634,0.22303913560213126,-4.88412652,0.13540808478402758,0.09055685000000001,0.1653280709504269,2.57427217,0.15613403753969068,2.25255869,0.261375977034117,2.15185889,0.14804456432895943,-0.02089550000002305
418.3,33.50772738,0.22266531328928874,-4.88463218,0.13547482885771764,0.09029481,0.16484512284404593,2.57476741,0.156391918961003,2.2527082000000003,0.26113876196877744,2.1520166599999997,0.14832949926445796,-0.0232583500000203
418.4,33.505534669999996,0.22280427858435736,-4.88541021,0.13549087832961762,0.08994956999999999,0.16514497989472582,2.57528482,0.1561879175774471,2.25240379,0.26143915988446886,2.15166493,0.14832330631988255,-0.020171500000031983
418.5,33.50369308,0.2231827226681095,-4.88623984,0.13559371910945492,0.09036476,0.1652997057209013,2.57580807,0.155934164822511,2.25213967,0.26133388501855254,2.15169189,0.14828979116634936,-0.018523949999973865
418.6,33.50182988,0.22316050448021577,-4.88683781,0.13556082119679488,0.08996867,0.16539466430470406,2.5766544799999997,0.15567643913653695,2.25244969,0.26169791868606856,2.15169046,0.14782909540223416,-0.01901659999995786
418.7,33.49988976,0.2231397153598855,-4.88747923,0.13520834200930856,0.08984138,0.1656576898357355,2.57692774,0.15523775518123642,2.2523959,0.2613513691742645,2.15189762,0.14801154135675917,-0.018252999999987196
418.8,33.49817928,0.22332875489355258,-4.888391250000001,0.1350525459698441,0.0893117,0.16569153953953047,2.57700674,0.1550714420109192,2.25198017,0.2612061644809124,2.15200852,0.14793525975574448,-0.020327750000006972
418.9,33.49582421,0.22328542603624407,-4.888725099999999,0.13507653818285634,0.08913803,0.16535896075498535,2.57729836,0.15510170239956375,2.25196949,0.2613670542585811,2.15241934,0.14760843905641413,-0.022015900000013744
419.0,33.4937761,0.22362830691160837,-4.88945838,0.134784972631628,0.08853156000000001,0.16490854915850184,2.57739204,0.15504343091937475,2.25183447,0.2611443102412203,2.15195833,0.1476780170096419,-0.01843304999999873
419.1,33.4921376,0.22394329356609746,-4.89073822,0.13462801150477158,0.08879173,0.16525705049027276,2.57791579,0.15472764592842275,2.2517454,0.2610296958520738,2.15195963,0.14769120114922935,-0.0160256499999889
